Grookey,Drum Beat,Grass
Thwackey,Stick Swing,Grass
Rillaboom,Jungle Jams,Grass
Scorbunny,Flame Hopper,Fire
Raboot,Blaze Step,Fire
Cinderace,Kick Blaze,Fire
Sobble,Sneak Splash,Water
Drizzile,Droplet Dance,Water
Inteleon,Sniper Splash,Water
Skwovet,Nutty Squirrel,Normal
Greedent,Hungry Hoarder,Normal
Rookidee,Rookie Bird,Flying
Corvisquire,Wing Flap,Flying
Corviknight,Knight Flight,Flying,Steel
Blipbug,Tiny Beetle,Bug
Dottler,Mind Bug,Bug,Psychic
Orbeetle,Galactic Beetle,Bug,Psychic
Nickit,Fox Sneak,Dark
Thievul,Bandit Fox,Dark
Gossifleur,Fluffy Bloom,Grass
Eldegoss,Cotton Fluff,Grass
Wooloo,Wool Roll,Normal
Dubwool,Wooly Ram,Normal
Chewtle,Chomp Turtle,Water
Drednaw,Bite Back,Water,Rock
Yamper,Barking Spark,Electric
Boltund,Bolt Bound,Electric
Rolycoly,Rock Roll,Rock
Carkol,Coal Car,Rock,Fire
Coalossal,Fiery Coal,Rock,Fire
Applin,Apple Dragon,Grass,Dragon
Flapple,Apple Wing,Grass,Dragon
Appletun,Apple Armor,Grass,Dragon
Silicobra,Sandy Snake,Ground
Sandaconda,Sand Serpent,Ground
Cramorant,Fish Fling,Flying,Water
Arrokuda,Arrow Fish,Water
Barraskewda,Bite Barracuda,Water
Toxel,Toxic Shock,Electric,Poison
Toxtricity,Toxic Rockstar,Electric,Poison
Sizzlipede,Sizzle Crawl,Fire,Bug
Centiskorch,Fire Centipede,Fire,Bug
Clobbopus,Punch Octopus,Fighting
Grapploct,Grapple Octopus,Fighting
Sinistea,Haunted Tea,Ghost
Polteageist,Tea Specter,Ghost
Hatenna,Hat Magic,Psychic
Hattrem,Hat Mind,Psychic
Hatterene,Hat Enigma,Psychic,Fairy
Impidimp,Imp Trickster,Dark,Fairy
Morgrem,Mischief Imp,Dark,Fairy
Grimmsnarl,Gnarly Imp,Dark,Fairy
Obstagoon,Obstacle Goon,Dark,Normal
Perrserker,Viking Cat,Steel
Cursola,Ghost Coral,Ghost
Sirfetch'd,Chivalry Duck,Fighting
Mr. Rime,Gentleman Ice,Ice,Psychic
Runerigus,Rune Ghost,Ground,Ghost
Milcery,Creamy Cuteness,Fairy
Alcremie,Sweet Cream,Fairy
Falinks,Marching Troops,Fighting
Pincurchin,Sea Urchin,Electric
Snom,Snow Bug,Ice,Bug
Frosmoth,Frost Moth,Ice,Bug
Stonjourner,Stone Giant,Rock
Eiscue,Ice Cube Head,Ice
Indeedee,Psychic Butler,Psychic,Normal
Morpeko,Munch Munch,Electric,Dark
Cufant,Trunk Armor,Steel
Copperajah,Metal Elephant,Steel
Dracozolt,Zap Dino,Electric,Dragon
Arctozolt,Freeze Dino,Electric,Ice
Dracovish,Fish Dino,Water,Dragon
Arctovish,Chill Dino,Water,Ice
Duraludon,Metal Dragon,Steel,Dragon
Dreepy,Ghost Dragon,Dragon,Ghost
Drakloak,Ghost Cloak,Dragon,Ghost
Dragapult,Phantom Jet,Dragon,Ghost
Zacian,Sword Legend,Fairy
Zamazenta,Shield Legend,Fighting
Eternatus,Eternal Venom,Poison,Dragon
Kubfu,Karate Cub,Fighting
Urshifu,Karate Bear,Fighting,Dark
Zarude,Jungle Bandit,Dark,Grass
Regieleki,Electric Regi,Electric
Regidrago,Dragon Regi,Dragon
Glastrier,Ice Horse,Ice
Spectrier,Ghost Horse,Ghost
Calyrex,Calm Ruler,Psychic,Grass

